timestamp,link_id,src_port,dst_port,tx_rate_bytes,utilization_pct
2026-09-08T05:38:12.755491,0000000000000001-0000000000000006,2,2,5094.71,0.04
2026-09-08T05:38:15.295413,0000000000000003-0000000000000005,2,2,6582.51,0.05
2026-09-08T05:38:15.318245,0000000000000004-0000000000000006,2,2,6799.76,0.05
2026-09-08T05:38:15.340698,0000000000000001-0000000000000003,3,1,6430.44,0.05
2026-09-08T05:38:15.361084,0000000000000006-0000000000000003,2,1,1672.78,0.05
2026-09-08T05:38:15.381166,0000000000000004-0000000000000003,1,1,3475.91,0.05
2026-09-08T05:38:15.404039,0000000000000002-0000000000000003,2,1,5061.8,0.04
2026-09-08T05:38:15.426535,0000000000000005-0000000000000006,2,2,1694.51,0.05
2026-09-08T05:38:15.449326,0000000000000003-0000000000000006,1,2,3562.81,0.05
2026-09-08T05:38:15.471866,0000000000000001-0000000000000006,2,2,5083.52,0.04
2026-09-08T05:38:15.493593,0000000000000002-0000000000000006,3,2,6604.23,0.05
2026-09-08T05:38:18.202472,0000000000000003-0000000000000005,2,2,5486.08,0.04
2026-09-08T05:38:18.233775,0000000000000004-0000000000000006,2,2,5424.2,0.04
2026-09-08T05:38:18.268468,0000000000000001-0000000000000005,3,2,5486.08,0.04
2026-09-08T05:38:18.296358,0000000000000002-0000000000000006,3,2,5403.58,0.04
2026-09-08T05:38:18.320845,0000000000000002-0000000000000001,2,2,4145.49,0.03
2026-09-08T05:38:18.350318,0000000000000004-0000000000000002,1,3,2784.29,0.04
2026-09-08T05:38:18.375154,0000000000000006-0000000000000002,2,3,1402.46,0.04
2026-09-08T05:38:18.402202,0000000000000001-0000000000000002,2,2,4227.99,0.03
2026-09-08T05:38:18.429057,0000000000000005-0000000000000002,2,2,1361.21,0.04
2026-09-08T05:38:18.453937,0000000000000003-0000000000000002,1,2,2701.79,0.04
2026-09-08T05:38:20.801591,0000000000000003-0000000000000005,2,2,5722.19,0.05
2026-09-08T05:38:20.826845,0000000000000004-0000000000000006,2,2,5676.04,0.05
2026-09-08T05:38:20.853933,0000000000000004-0000000000000003,1,1,2791.88,0.04
2026-09-08T05:38:20.872868,0000000000000001-0000000000000003,3,1,5699.12,0.05
2026-09-08T05:38:20.897144,0000000000000002-0000000000000004,3,1,5722.19,0.05
2026-09-08T05:38:20.921256,0000000000000006-0000000000000004,2,2,1292.11,0.04
2026-09-08T05:38:20.949041,0000000000000001-0000000000000006,2,2,4591.6,0.04
2026-09-08T05:38:20.971719,0000000000000002-0000000000000005,2,2,4268.57,0.04
2026-09-08T05:38:20.995950,0000000000000003-0000000000000006,1,2,3068.76,0.05
2026-09-08T05:38:21.015201,0000000000000005-0000000000000002,2,2,1476.69,0.05
2026-09-08T05:38:23.610218,0000000000000003-0000000000000005,2,2,6991.96,0.06
2026-09-08T05:38:23.644736,0000000000000004-0000000000000006,2,2,6970.59,0.06
2026-09-08T05:38:23.669389,0000000000000001-0000000000000004,2,1,5175.4,0.04
2026-09-08T05:38:23.690644,0000000000000002-0000000000000004,3,1,6756.87,0.05
2026-09-08T05:38:23.715118,0000000000000001-0000000000000005,3,2,6756.87,0.05
2026-09-08T05:38:23.735989,0000000000000005-0000000000000001,2,3,1731.07,0.06
2026-09-08T05:38:23.756175,0000000000000003-0000000000000001,1,3,3569.0,0.06
2026-09-08T05:38:23.784019,0000000000000006-0000000000000001,2,2,1837.93,0.06
